"","site","box_number","site_box_number","species","male_id","female_id","antenna_pit_tag_id_2","antenna_pit_tag_id_1","number_fledged","year"
"1","MW","6","MW6","GRETI","Z066203","Z066324","01101738AB","011016FB0C","6","2019"
"2","MW","7","MW7","GRETI","","","011016C265","01101737FA","na","2019"
"3","MW","8","MW8","GRETI","Z066268","unk","011016FE22","unk","0","2019"
"4","MW","9","MW9","GRETI","Z066321","Z066346","04194841F7","011016F437","5","2019"
"5","MW","10","MW10","GRETI","TV34390","Z066471","011016C265","01101737FA","6","2019"
"6","MW","15","MW15","GRETI","D198203","D198350","011016FA48","0110170AED","8","2019"
"7","MW","22","MW22","GRETI","Y584162","TV34224","","011016DBA6","6","2019"
"8","MW","25","MW25","GRETI","Z066630","Z066418","110174603","0110170C32","9","2019"
"9","MW","27","MW27","GRETI","Z066315","Z066256","419483034","0110174FC8","10","2019"
"10","MW","34","MW34","GRETI","Z066472","Z066857","011016FBDD","01103F5B01","8","2019"
"11","MW","40","MW40","GRETI","Z066387","D198260","","01101702B3","7","2019"
"12","MW","41","MW41","GRETI","Z066269","Z066575","01101738A7","0110172A7D","6","2019"
"13","MW","44","MW44","GRETI","Z066870","Z066663","01103F8B9A","0110174CCC","6","2019"
"14","MW","45","MW45","GRETI","Z066615","Z066448","0110174D6C","01101701D9","3","2019"
"15","MW","48","MW48","GRETI","Z066589","","011016FB74","","6","2019"
"16","MW","49","MW49","GRETI","","","","","0","2019"
"17","MW","51","MW51","GRETI","","","011016FA81","011016F72A","6","2019"
"18","MW","52","MW52","GRETI","TV35490","Z066458","011016F4AD","011016FD16","7","2019"
"19","MW","55","MW55","GRETI","Z066412","Z066291","0110173AAF","","4","2019"
"20","MW","56","MW56","GRETI","Z066325","D198460","011016F9DA","01103F706A",NA,"2019"
"21","MW","64","MW64","GRETI","","Z066595","","0110174D11","4","2019"
"22","MW","66","MW66","GRETI","Z066822","Z066389","0700EE0279","011016FB39","0","2019"
"23","MW","73","MW73","GRETI","Z066318","Z066266","011016FA36","01101719EF","6","2019"
"24","MW","75","MW75","GRETI","Z066265","Z066284","","110170740","5","2019"
"25","MW","80","MW80","GRETI","Z066498","Z066576","110173957","110175062","8","2019"
"26","MW","86","MW86","GRETI","","","01103F502D","011017430D","9","2019"
"27","MW","88","MW88","GRETI","","","","","0","2019"
"28","MW","93","MW93","GRETI","Z066872","Z066785","1.10E+69","1.10E+07","4","2019"
"29","MW","102","MW102","GRETI","Z066568","Z066653","01101715AF","011016E3A5","1","2019"
"30","MW","106","MW106","GRETI","Z066611","Z066616","01101706A5","011016FE28","7","2019"
"31","MW","113","MW113","GRETI","Z066440","Z066618","01101715AA","01101701B5","6","2019"
"32","MW","115","MW115","GRETI","Z066596","TV34399","011017483B","",NA,"2019"
"33","MW","129","MW129","GRETI","Z066302","Z066557","01103F4609","","9","2019"
"34","MW","140","MW140","GRETI","TV34250","TV34364","011017319D","","3","2019"
